"Brand","Model","Minivan","Wagon","Pickup","Automatic","EngineSize","Cylinders","CityMPG","HwyMPG","SUV","AWD","Hybrid"
"PONTIAC","Wave 5","0.0","0.0","0.0","0.0","1.6","4.0","27.0","35.0","0.0","0.0","0.0"
"SUZUKI","Swift","0.0","0.0","0.0","0.0","1.6","4.0","27.0","35.0","0.0","0.0","0.0"
"SUZUKI","Swift +","0.0","0.0","0.0","0.0","1.6","4.0","27.0","35.0","0.0","0.0","0.0"
"TOYOTA","Celica","0.0","0.0","0.0","0.0","1.8","4.0","27.0","33.0","0.0","0.0","0.0"
"VOLKSWAGEN","Passat","0.0","0.0","0.0","1.0","2.0","4.0","27.0","38.0","0.0","0.0","0.0"
"VOLKSWAGEN","Passat Wagon","0.0","1.0","0.0","1.0","2.0","4.0","27.0","38.0","0.0","0.0","0.0"
"CHEVROLET","Aveo","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"CHEVROLET","Aveo 5","0.0","0.0","0.0","1.0","1.6","4.0","26.0","34.0","0.0","0.0","0.0"
"CHEVROLET","Cavalier","0.0","0.0","0.0","0.0","2.2","4.0","26.0","36.0","0.0","0.0","0.0"
"FORD","Focus FWD","0.0","0.0","0.0","1.0","2.0","4.0","26.0","32.0","0.0","0.0","0.0"
"FORD","Focus FWD","0.0","0.0","0.0","0.0","2.0","4.0","26.0","35.0","0.0","0.0","0.0"
"FORD","Focus Station Wagon","0.0","1.0","0.0","1.0","2.0","4.0","26.0","32.0","0.0","0.0","0.0"
"FORD","Focus Station Wagon","0.0","1.0","0.0","0.0","2.0","4.0","26.0","35.0","0.0","0.0","0.0"
"HONDA","Accord","0.0","0.0","0.0","0.0","2.4","4.0","26.0","34.0","0.0","0.0","0.0"
"HONDA","Civic","0.0","0.0","0.0","0.0","2.0","4.0","26.0","31.0","0.0","0.0","0.0"
"HYUNDAI","Accent/Brio","0.0","0.0","0.0","1.0","1.6","4.0","26.0","35.0","0.0","0.0","0.0"
