Brand	Model	Minivan	Wagon	Pickup	Automatic	EngineSize	Cylinders	CityMPG	HwyMPG	SUV	AWD	Hybrid
CHEVROLET	Aveo 5	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
HYUNDAI	Accent/Brio	0.000000	0.000000	0.000000	1.000000	1.500000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
HYUNDAI	Elantra	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	27.000000	34.000000	0.000000	0.000000	0.000000
MINI	Cooper Conv	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
MITSUBISHI	Lancer	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	27.000000	34.000000	0.000000	0.000000	0.000000
PONTIAC	Wave	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
PONTIAC	Wave 5	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
SUZUKI	Swift	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
SUZUKI	Swift +	0.000000	0.000000	0.000000	0.000000	1.600000	4.000000	27.000000	35.000000	0.000000	0.000000	0.000000
TOYOTA	Celica	0.000000	0.000000	0.000000	0.000000	1.800000	4.000000	27.000000	33.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Passat	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	27.000000	38.000000	0.000000	0.000000	0.000000
VOLKSWAGEN	Passat Wagon	0.000000	1.000000	0.000000	1.000000	2.000000	4.000000	27.000000	38.000000	0.000000	0.000000	0.000000
CHEVROLET	Aveo	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Aveo 5	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
CHEVROLET	Cavalier	0.000000	0.000000	0.000000	0.000000	2.200000	4.000000	26.000000	36.000000	0.000000	0.000000	0.000000
FORD	Focus FWD	0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	26.000000	32.000000	0.000000	0.000000	0.000000
FORD	Focus FWD	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	26.000000	35.000000	0.000000	0.000000	0.000000
FORD	Focus Station Wagon	0.000000	1.000000	0.000000	1.000000	2.000000	4.000000	26.000000	32.000000	0.000000	0.000000	0.000000
FORD	Focus Station Wagon	0.000000	1.000000	0.000000	0.000000	2.000000	4.000000	26.000000	35.000000	0.000000	0.000000	0.000000
HONDA	Accord	0.000000	0.000000	0.000000	0.000000	2.400000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
HONDA	Civic	0.000000	0.000000	0.000000	0.000000	2.000000	4.000000	26.000000	31.000000	0.000000	0.000000	0.000000
HYUNDAI	Accent/Brio	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	35.000000	0.000000	0.000000	0.000000
MAZDA		0.000000	0.000000	0.000000	1.000000	2.000000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
MINI	Cooper	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	34.000000	0.000000	0.000000	0.000000
MINI	Cooper Conv	0.000000	0.000000	0.000000	1.000000	1.600000	4.000000	26.000000	33.000000	0.000000	0.000000	0.000000
